filter_sizes,kernel_sizes,activation,pool_type,dropout_rate,dense_units,test_accuracy,train_accuracy,val_accuracy,train_loss,val_loss,accuracy_variance,run_time
"(32, 64, 128)","((3, 3), (3, 3), (3, 3))",relu,Average,0.7,256,0.8846281170845032,0.8571797609329224,0.8831611275672913,0.3879856467247009,0.3239326775074005,0.025981366634368896,229.00117087364197
"(32, 64, 128)","((3, 3), (3, 3), (3, 3))",tanh,Average,0.2,128,0.7688429951667786,0.8242251873016357,0.7691115736961365,0.4568490982055664,0.6111793518066406,-0.05511361360549927,229.0862169265747
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",tanh,Max,0.2,64,0.7904132008552551,0.8266528844833374,0.7992768883705139,0.4510393738746643,0.5482618808746338,-0.027375996112823486,362.8893859386444
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",sigmoid,Max,0.2,256,0.7847933769226074,0.7824896574020386,0.7841942310333252,0.5720599889755249,0.5656670928001404,0.001704573631286621,365.4365818500519
"(64, 128, 256)","((3, 3), (3, 3), (3, 3))",tanh,Max,0.7,64,0.7900000214576721,0.7690340876579285,0.797107458114624,0.6058869361877441,0.5285925269126892,0.028073370456695557,385.11657071113586
"(32, 64, 128)","((3, 3), (3, 3), (3, 3))",relu,Average,0.7,64,0.8676033020019531,0.8422262668609619,0.8724173307418823,0.4276241064071655,0.3464760482311249,0.03019106388092041,190.0758740901947
"(32, 64, 128)","((3, 3), (3, 3), (3, 3))",relu,Average,0.2,64,0.8731405138969421,0.8812500238418579,0.8727272748947144,0.3162388503551483,0.3378213942050934,-0.008522748947143555,178.49345993995667
"(32, 64, 128)","((3, 3), (3, 3), (3, 3))",sigmoid,Average,0.7,64,0.7642975449562073,0.7368801832199097,0.766425609588623,0.706500232219696,0.6192136406898499,0.02954542636871338,180.13576292991638
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",tanh,Max,0.2,256,0.786033034324646,0.8749483227729797,0.7900826334953308,0.3251587450504303,0.5924956798553467,-0.08486568927764893,324.72589087486267
"(32, 64, 128)","((3, 3), (3, 3), (3, 3))",relu,Average,0.7,256,0.8726446032524109,0.8517820239067078,0.8783057928085327,0.40258288383483887,0.3346661627292633,0.02652376890182495,185.485004901886
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",tanh,Average,0.7,256,0.7279338836669922,0.7335485816001892,0.7341942191123962,0.7054576873779297,0.6911869645118713,0.0006456375122070312,298.9513599872589
